eps,Min sample,Mean ARI score
65.0,2.0,0.8050544946341881
65.0,3.0,0.7360563034025118
65.0,4.0,0.5964880137781617
65.0,5.0,0.4909713962930857
70.0,2.0,0.831474952531356
70.0,3.0,0.7794805543010268
70.0,4.0,0.6318150007760696
70.0,5.0,0.5198656805929895
75.0,2.0,0.8377644590751353
75.0,3.0,0.7878360042659233
75.0,4.0,0.6614852121112544
75.0,5.0,0.5505160768709707
80.0,2.0,0.8339198800099344
80.0,3.0,0.7900499603455094
80.0,4.0,0.6689793790568764
80.0,5.0,0.5685780189200027
85.0,2.0,0.8276615952625979
85.0,3.0,0.7914187891667137
85.0,4.0,0.6851745629431618
85.0,5.0,0.5835962582019928
90.0,2.0,0.8102602258751145
90.0,3.0,0.782419072760541
90.0,4.0,0.6920594697786293
90.0,5.0,0.5971782808360193
